Model,New T2I,AUC-PR,F1 Score
2024-12-12-21-56,0.1479289940828402,0.0174195831986512,
2024-12-12-21-56,0.1575342465753424,0.0174195831986512,
2024-12-12-21-56,0.1226993865030674,0.0174195831986512,
2024-12-12-21-56,0.1305841924398625,0.0174195831986512,
2024-12-12-21-56,0.1301115241635687,0.0174195831986512,
2024-12-12-21-56,0.1391304347826087,0.0174195831986512,
2024-12-12-21-56,0.1485148514851485,0.0174195831986512,
2024-12-12-21-56,0.1542553191489361,0.0174195831986512,
2024-12-12-21-56,0.1479289940828402,0.0174195831986512,
2024-12-12-21-56,0.1575342465753424,0.0174195831986512,
2024-12-12-21-56,0.1574803149606299,0.0174195831986512,
2024-12-12-21-56,0.1538461538461538,0.0174195831986512,
2024-12-12-21-56,0.1683168316831683,0.0174195831986512,
2024-12-12-21-56,0.1666666666666666,0.0174195831986512,
2024-12-12-21-56,0.1466666666666666,0.0174195831986512,
2025-02-04-10-29,0.0972818311874105,0.0116562122729095,
2025-02-04-10-33,0.0,0.0178768126267629,
2025-02-04-10-39,0.1538461538461538,0.017715066819706,
2025-02-04-10-43,0.0,0.0178165317228048,
2025-02-04-10-47,0.0,0.0180646493586933,
2025-02-04-10-52,0.0,0.0173741571358526,
2025-02-04-10-57,0.0,0.0178958408204845,
2025-02-04-11-04,0.0,0.0150036292613333,
2025-02-04-11-11,0.0,0.0176714748491041,
2025-02-04-11-16,0.0625,0.015807703568116,
2025-02-04-11-21,0.0,0.0173618152789544,
2025-02-04-11-27,0.0,0.0176733888095304,
2025-02-04-11-32,0.0,0.0173611499419585,
